n114,410-학부사무실(컴퓨터공학부),410,1.450324901,"126.6335739,37.3742833,126.6335846,37.3742958","126.6335867,37.3742952"
n115,계단입구14,f4a2,1.53477473,"126.6336544,37.3742537,126.6336426,37.3742417","126.6336544,37.3742537"
n115,n116,f4r30,1.839887501,"126.6336426,37.3742417,126.6336288,37.3742264",0
n116,ELEV실A,f4eleva,4.497059396,"126.6336668,37.3742032,126.6336288,37.3742264","126.6336668,37.3742032"
n118,436-뉴로모픽 컴퓨팅 시스템 연구실,436,1.053271472,"126.6337063,37.3741901,126.6337143,37.3741986","126.6337059,37.3741877"
n119,435-데이터지능연구실,435,1.369162985,"126.6337889,37.374154,126.6337783,37.3741435","126.6337783,37.3741435"
n114,n115,f4r31,8.122443862,"126.6335739,37.3742833,126.6336426,37.3742417",0
n116,401U-화장실(남),f4ta,3.302966642,"126.6336288,37.3742264,126.633604,37.374199","126.6336057,37.3741985"
n115,n117,f4r29,7.353382917,"126.6336426,37.3742417,126.6337047,37.3742036",0
n117,n118,f4r27,1.11783362,"126.6337047,37.3742036,126.6337143,37.3741986",0
n118,n119,f4r28,8.807169377,"126.6337143,37.3741986,126.6337889,37.374154",0
n120,434-교수연구실(컴퓨터공학부-최승식),434,2.042385998,"126.6337381,37.374209,126.6337209,37.3742198","126.6337381,37.374209"
n121,433-교수연구실(컴퓨터공학부-홍윤식),433,1.864299639,"126.6337602,37.3742349,126.6337444,37.3742443","126.6337609,37.3742346"
n122,432-교수연구실(컴퓨터공학부-김지범),432,1.853824709,"126.633787,37.3742645,126.6337713,37.3742739","126.633787,37.3742645"
n123,431-교수연구실(컴퓨터공학부-백형부),431,1.971550415,"126.6338145,37.3742916,126.6337977,37.3743011","126.6338145,37.3742916"
n124,430-교수연구실(컴퓨터공학부-이장호),430,1.989156625,"126.6338413,37.3743193,126.6338245,37.3743296","126.6338413,37.3743193"
n125,429-교수연구실(컴퓨터공학부-민병준),429,2.060239557,"126.6338675,37.3743476,126.63385,37.3743578","126.6338675,37.3743476"
n126,428-교수연구실(컴퓨터공학부-이승수),428,2.024373912,"126.633893,37.3743753,126.6338758,37.3743853","126.633893,37.3743753"
n127,427-교수연구실(컴퓨터공학부-성미영),427,1.952649288,"126.6339177,37.3744028,126.633901,37.3744119","126.6339177,37.3744028"
n128,426-교수연구실(컴퓨터공학부-채진석),426,2.077336241,"126.6339438,37.3744286,126.6339262,37.3744391","126.6339438,37.3744286"
